;;FR Base FR Base;FR Base FR Base;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;Consommation (kWh);Index;;;;;;;;;;;;;;
29-08-2025;estimée;;;4;8 437;;;;;;;;;;;;;;
30-08-2025;evt réelle;;;9;8 441;;;;;;;;;;;;;;
31-08-2025;evt réelle;;;5;8 450;;;;;;;;;;;;;;
01-09-2025;evt réelle;;;6;8 455;;;;;;;;;;;;;;
02-09-2025;estimée;;;5;8 461;;;;;;;;;;;;;;
03-09-2025;evt réelle;;;7;8 466;;;;;;;;;;;;;;
04-09-2025;evt réelle;;;5;8 473;;;;;;;;;;;;;;
05-09-2025;evt réelle;;;3;8 478;;;;;;;;;;;;;;
06-09-2025;evt réelle;;;5;8 481;;;;;;;;;;;;;;
07-09-2025;estimée;;;7;8 486;;;;;;;;;;;;;;
08-09-2025;evt réelle;;;7;8 493;;;;;;;;;;;;;;
09-09-2025;estimée;;;4;8 500;;;;;;;;;;;;;;
10-09-2025;evt réelle;;;5;8 504;;;;;;;;;;;;;;
11-09-2025;evt réelle;;;4;8 509;;;;;;;;;;;;;;
12-09-2025;evt réelle;;;8;8 513;;;;;;;;;;;;;;
13-09-2025;estimée;;;8;8 521;;;;;;;;;;;;;;
14-09-2025;evt réelle;;;10;8 529;;;;;;;;;;;;;;
15-09-2025;estimée;;;9;8 539;;;;;;;;;;;;;;
16-09-2025;estimée;;;5;8 548;;;;;;;;;;;;;;
17-09-2025;evt réelle;;;5;8 553;;;;;;;;;;;;;;
18-09-2025;estimée;;;8;8 558;;;;;;;;;;;;;;
19-09-2025;evt réelle;;;3;8 566;;;;;;;;;;;;;;
20-09-2025;evt réelle;;;8;8 569;;;;;;;;;;;;;;
21-09-2025;evt réelle;;;8;8 577;;;;;;;;;;;;;;
22-09-2025;estimée;;;5;8 585;;;;;;;;;;;;;;
23-09-2025;evt réelle;;;8;8 590;;;;;;;;;;;;;;
24-09-2025;evt réelle;;;8;8 598;;;;;;;;;;;;;;
25-09-2025;evt réelle;;;5;8 606;;;;;;;;;;;;;;
26-09-2025;evt réelle;;;5;8 611;;;;;;;;;;;;;;
27-09-2025;estimée;;;8;8 616;;;;;;;;;;;;;;
28-09-2025;evt réelle;;;9;8 624;;;;;;;;;;;;;;
29-09-2025;evt réelle;;;9;8 633;;;;;;;;;;;;;;
30-09-2025;evt réelle;;;9;8 642;;;;;;;;;;;;;;
01-10-2025;evt réelle;;;9;8 651;;;;;;;;;;;;;;
02-10-2025;evt réelle;;;7;8 660;;;;;;;;;;;;;;
03-10-2025;evt réelle;;;7;8 667;;;;;;;;;;;;;;
04-10-2025;evt réelle;;;9;8 674;;;;;;;;;;;;;;
05-10-2025;evt réelle;;;12;8 683;;;;;;;;;;;;;;
06-10-2025;evt réelle;;;7;8 695;;;;;;;;;;;;;;
07-10-2025;evt réelle;;;3;8 702;;;;;;;;;;;;;;
08-10-2025;estimée;;;8;8 705;;;;;;;;;;;;;;
09-10-2025;evt réelle;;;9;8 713;;;;;;;;;;;;;;
10-10-2025;evt réelle;;;8;8 722;;;;;;;;;;;;;;
11-10-2025;evt réelle;;;9;8 730;;;;;;;;;;;;;;
12-10-2025;estimée;;;6;8 739;;;;;;;;;;;;;;
13-10-2025;evt réelle;;;7;8 745;;;;;;;;;;;;;;
14-10-2025;evt réelle;;;8;8 752;;;;;;;;;;;;;;
15-10-2025;evt réelle;;;9;8 760;;;;;;;;;;;;;;
16-10-2025;evt réelle;;;10;8 769;;;;;;;;;;;;;;
17-10-2025;evt réelle;;;11;8 779;;;;;;;;;;;;;;
18-10-2025;estimée;;;8;8 790;;;;;;;;;;;;;;
19-10-2025;evt réelle;;;12;8 798;;;;;;;;;;;;;;
